date,year,folder,file,district_id,district_name,mean_spei
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,1,Tavush,-1.765876054763794
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,2,Lor,-1.4314831495285034
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,3,Shirak,-1.0872763395309448
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,4,Gegharkunik,-1.5719540119171143
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,5,Vayots dzor,-1.5615102052688599
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,6,Syunik,-1.3754591941833496
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,7,Ararat,-1.3753358125686646
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,8,Aragatsotn,-1.0206589698791504
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,9,Armavir,-1.1416085958480835
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,10,Kotayk,-1.3606328964233398
1999-01-01,1998,spe12_m_gdo_19990101_19991201_m,spe12_m_gdo_19990101_m_100_z01.tif,11,Yerevan,-1.4016717672348022
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,1,Tavush,0.21457339823246002
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,2,Lor,0.850144624710083
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,3,Shirak,0.9083156585693359
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,4,Gegharkunik,0.5856388211250305
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,5,Vayots dzor,-0.5586530566215515
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,6,Syunik,-0.14409451186656952
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,7,Ararat,-0.07471231371164322
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,8,Aragatsotn,0.6147855520248413
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,9,Armavir,-0.007328242063522339
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,10,Kotayk,0.8953132033348083
2000-01-01,1999,spe12_m_gdo_20000101_20001201_m,spe12_m_gdo_20000101_m_100_z01.tif,11,Yerevan,-0.11586073786020279
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,1,Tavush,-1.6180953979492188
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,2,Lor,-1.8838319778442383
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,3,Shirak,-2.0588788986206055
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,4,Gegharkunik,-1.514979362487793
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,5,Vayots dzor,-1.7606724500656128
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,6,Syunik,-1.3187072277069092
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,7,Ararat,-1.9653948545455933
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,8,Aragatsotn,-2.1479854583740234
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,9,Armavir,-1.9368350505828857
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,10,Kotayk,-2.02858829498291
2001-01-01,2000,spe12_m_gdo_20010101_20011201_m,spe12_m_gdo_20010101_m_100_z01.tif,11,Yerevan,-1.995239019393921
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,1,Tavush,-1.022546410560608
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,2,Lor,-1.1756502389907837
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,3,Shirak,-0.7523500323295593
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,4,Gegharkunik,-0.4974590241909027
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,5,Vayots dzor,-0.3989107608795166
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,6,Syunik,-0.7964507937431335
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,7,Ararat,-0.681070864200592
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,8,Aragatsotn,-0.6398056149482727
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,9,Armavir,-0.7958977222442627
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,10,Kotayk,-0.4158540368080139
2002-01-01,2001,spe12_m_gdo_20020101_20021201_m,spe12_m_gdo_20020101_m_100_z01.tif,11,Yerevan,-0.3936927318572998
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,1,Tavush,1.1588551998138428
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,2,Lor,1.5363308191299438
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,3,Shirak,1.2560714483261108
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,4,Gegharkunik,1.1547558307647705
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,5,Vayots dzor,1.0407925844192505
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,6,Syunik,0.8662875294685364
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,7,Ararat,1.1616861820220947
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,8,Aragatsotn,1.2711668014526367
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,9,Armavir,1.099743127822876
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,10,Kotayk,1.0786676406860352
2003-01-01,2002,spe12_m_gdo_20030101_20031201_m,spe12_m_gdo_20030101_m_100_z01.tif,11,Yerevan,1.0831108093261719
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,1,Tavush,0.7496197819709778
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,2,Lor,0.3602958917617798
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,3,Shirak,0.8642696738243103
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,4,Gegharkunik,1.1827987432479858
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,5,Vayots dzor,1.2929565906524658
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,6,Syunik,1.424798607826233
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,7,Ararat,1.378835678100586
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,8,Aragatsotn,0.8212594389915466
2004-01-01,2003,spe12_m_gdo_20040101_20041201_m,spe12_m_gdo_20040101_m_100_z01.tif,9,Armavir,1.2241029739379883
