"Water supply system of the Republic by indicators, marzes and years"

"indicators","marzes","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"The linear length of inter-district and inter-yard networks","Ararat",14.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,80.7,80.7
"The linear length of inter-district and inter-yard networks","Armavir",140.7,159.7,159.7,159.3,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,132.5,132.5
"The linear length of inter-district and inter-yard networks","Gegharkunik",24.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,81.4,81.4
"The linear length of inter-district and inter-yard networks","Lori",68.5,84.5,84.5,86.3,86.3,83.5,83.5,83.5,83.5,83.5,83.5,80.0,80.0,85.7,85.7
"The linear length of inter-district and inter-yard networks","Kotayk",60.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,66.0,74.0,79.5,70.5
"The linear length of inter-district and inter-yard networks","Shirak",128.0,136.0,138.0,138.0,148.0,716.0,716.0,715.0,715.0,715.0,715.0,715.0,715.0,716.7,716.7
"The linear length of inter-district and inter-yard networks","Syunik",90.5,105.5,105.5,110.0,105.5,105.5,105.5,109.4,119.5,120.0,120.0,105.0,106.0,121.0,115.5
"The linear length of inter-district and inter-yard networks","Vayots Dzor",21.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.4,40.4
"The linear length of inter-district and inter-yard networks","Tavush",22.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,31.6,31.6
"The linear length of inter-district and inter-yard networks","Total RA",987.5,1175.3,1171.9,1177.8,1151.0,1716.2,1716.2,1719.1,1729.2,1729.7,1729.7,1702.2,1711.2,1790.8,1776.3
